epoch,generator_TD_Dense_0_loss,loss,model_2_loss_1,model_2_loss_2,encoder_loss
0,0.0005366147,0.724436406,4.7942102531,0.724436406,0
0,0.0005468451,0.7219817114,4.793677048,0.7219817114,0
0,0.0005481949,0.7187445707,4.792442067,0.7187445707,0
0,0.0005463207,0.7195541662,4.7922419523,0.7195541662,0
0,0.0005278059,0.7228618036,4.7937562739,0.7228618036,0
0,0.0005351818,0.7194631055,4.7966811822,0.7194631055,0
0,0.0005396817,0.7160295607,4.7956355757,0.7160295607,0
0,0.000528637,0.7193812686,4.7991512225,0.7193812686,0
0,0.0005515746,0.7176940021,4.7968328412,0.7176940021,0
0,0.000518797,0.7157639369,4.7935834938,0.7157639369,0
0,0.0005150921,0.7138825345,4.7936338338,0.7138825345,0
0,0.00051935,0.713781883,4.7918111675,0.713781883,0
0,0.0005069536,0.7110299155,4.7938598302,0.7110299155,0
0,0.0005124481,0.7137487295,4.7911172177,0.7137487295,0
0,0.0005051948,0.7117361859,4.7912680801,0.7117361859,0
0,0.0005111957,0.7119312096,4.7899807886,0.7119312096,0
0,0.0005123568,0.7092834613,4.7910119665,0.7092834613,0
0,0.000496011,0.7103910288,4.7905131964,0.7103910288,0
0,0.0005015791,0.7075483558,4.7881602872,0.7075483558,0
0,0.0004897214,0.7089249458,4.7900286081,0.7089249458,0
0,0.0005113899,0.7080820357,4.7907175809,0.7080820357,0
0,0.0004716376,0.7042294435,4.7916534306,0.7042294435,0
0,0.0004863018,0.7064108785,4.7925509288,0.7064108785,0
0,0.0004842263,0.7066669507,4.7921244252,0.7066669507,0
0,0.0004595226,0.7053863873,4.7950609496,0.7053863873,0
0,0.0004857159,0.7050225975,4.7889924646,0.7050225975,0
0,0.0004822808,0.7005503133,4.7903890824,0.7005503133,0
0,0.0004870268,0.699796333,4.7883393086,0.699796333,0
0,0.0004662131,0.7006721986,4.7917006675,0.7006721986,0
0,0.0004675336,0.7012959123,4.791320266,0.7012959123,0
0,0.0004718257,0.7013507355,4.7926680814,0.7013507355,0
0,0.0004657645,0.7001332431,4.7901781053,0.7001332431,0
0,0.0004549401,0.698176594,4.7913602018,0.698176594,0
0,0.0004405071,0.6994609568,4.7901033937,0.6994609568,0
0,0.0004456311,0.697593341,4.7897929167,0.697593341,0
0,0.0004541534,0.7012945464,4.7905641195,0.7012945464,0
0,0.0004367231,0.6959459401,4.7936517354,0.6959459401,0
0,0.0004305259,0.695262369,4.7932408909,0.695262369,0
0,0.0004343592,0.6949624382,4.7924518281,0.6949624382,0
